dutch_name;scientific_name;observation_count
Gevlekte akkerslak;Deroceras reticulatum;7562
Oostelijke akkerslak;Deroceras sturanyi;1
Spaanse wegslak;Arion (Arion) vulgaris;1
Duistere wegslak;Arion ater;680
Grauwe wegslak;Arion circumscriptus;210
Donkere wegslak;Arion distinctus;878
Bruine wegslak;Arion fuscus;94
Zwarte wegslak;Arion hortensis;1634
Egelwegslak;Arion intermedius;2025
Rode wegslak;Arion rufus;1800
Bos-wegslak;Arion silvaticus;322
Oranjebruine wegslak;Arion subfuscus;203
Bos-aardslak;Lehmannia marginata;4325
Zwarte aardslak;Limax cinereoniger;2420
Tijgerslak;Limax maximus;16317
Tere aardslak;Malacolimax tenellus;616
Gestippelde kielnaaktslak;Tandonia rustica;406
Gele kielnaaktslak;Tandonia sowerbyi;5
Lichtbruine schildslak;Testacella haliotidea;2
Kleine clausilia/Vale clausilia/Knotwilgslak;Clausilia spec.;139
Clausilia onbekend;Clausiliidae indet.;838
Gekielde clausilia/Geribde clausilia;Macrogastra spec.;25
Agaathoren onbekend;Cochlicopa spec.;178
Dwergslak-soort;Carychium spec.;57
Tolslak onbekend;Euconulus spec.;22
Glimslak onbekend;Zonitoides spec.;1
Grasslak-soort;Candidula spec.;6
Tuinslak onbekend;Cepaea spec.;30240
;Monacha spec.;63
Mutsnaaktslak onbekend;Daudebardia spec.;2
;Morlina glabra / Oxychilus navarricus;79
Oxychilidae onbekend;Oxychilidae indet.;8
Glansslak-soort;Oxychilus spec.;667
Kristalslak-soort;Vitrea spec.;112
Slanke barnsteenslak / Tweeling-barnsteenslak;Oxyloma spec.;1728
Barnsteenslak onbekend;Succineidae indet.;1726
Jachthorenslak onbekend;Vallonia spec.;119
Tandeloze korfslak/Ruwe korfslak;Columella spec.;19
Korfslak onbekend;Columella/Vertigo;38
Glasslak-soort;Vitrinidae indet.;59
Akkerslak onbekend;Deroceras spec.;443
Wegslak soort;Arion (Arion) spec.;3135
Boswegslak/Grauwe wegslak;Arion (Carinarion) spec.;603
Zwarte wegslak / Donkere wegslak;Arion (Kobeltia) spec.;5662
Bruine wegslak / Oranjebruine wegslak;Arion (Mesarion) spec.;4598
;Arion rufus / ater;387
Rode wegslak/Spaanse wegslak;Arion rufus/vulgaris;43650
Wegslak onbekend;Arion spec.;81
Spaanse aardslak/Bosaardslak;Lehmannia spec.;4
Akkerslak/Aardslak onbekend;Limacidae indet.;72
;Limacus spec.;69
Kielnaaktslak onbekend;Limax spec.;147
Kielnaaktslak onbekend;Milacidae indet.;53
Zwarte kielnaaktslak/Siciliaanse kielnaaktslak;Milax spec.;3
