dutch_name,scientific name,group,date first observed,date last observed,number of observations,number of individuals,species type
Heideslak,Helicella itala,Mollusca (Weekdieren),1981-05-29,2025-10-26,1943,13642,soort
Kleine pyramideslak,Xerocrassa geyeri,Mollusca (Weekdieren),1981-05-30,1981-05-30,2,2,soort
Grofgeribde grasslak,Xeroplexa intersecta,Mollusca (Weekdieren),2005-07-22,2025-11-05,3992,24931,soort
Heesterslak,Arianta arbustorum,Mollusca (Weekdieren),1981-05-29,2025-11-03,2655,7706,soort
Witgerande tuinslak,Cepaea hortensis,Mollusca (Weekdieren),1981-05-29,2025-11-06,7513,12528,soort
Zwartgerande tuinslak,Cepaea nemoralis,Mollusca (Weekdieren),1981-04-12,2025-11-07,47290,82216,soort
Segrijnslak,Cornu aspersum,Mollusca (Weekdieren),1989-05-07,2025-11-07,62076,96531,soort
Steenbikker,Helicigona lapicida,Mollusca (Weekdieren),1976-06-17,2025-10-29,1127,2235,soort
Gewone wijngaardslak,Helix pomatia,Mollusca (Weekdieren),1945-05-01,2025-11-07,19364,38654,soort
Maskerslak,Isognomostoma isognomostomos,Mollusca (Weekdieren),2015-02-12,2025-04-20,42,222,soort
Aardschijfje,Lucilla scintilla,Mollusca (Weekdieren),1989-11-04,2025-10-02,45,102,soort
Opgerolde tandslak,Helicodonta obvoluta,Mollusca (Weekdieren),1976-09-30,2025-10-29,1350,2702,soort
Grote kartuizerslak,Monacha cantiana,Mollusca (Weekdieren),1988-10-14,2025-11-06,10130,17216,soort
Kleine kartuizerslak,Monacha cartusiana,Mollusca (Weekdieren),1988-10-14,2025-11-04,2049,9817,soort
Bos-loofslak,Monachoides incarnatus,Mollusca (Weekdieren),1981-05-29,2025-11-06,2254,3215,soort
Oever-loofslak,Pseudotrichia rubiginosa,Mollusca (Weekdieren),2008-10-06,2025-04-19,86,389,soort
Haarslak,Trochulus hispidus,Mollusca (Weekdieren),1981-05-29,2025-11-06,10292,14757,soort
Rosse haarslak,Trochulus striolatus,Mollusca (Weekdieren),1997-07-07,1997-07-07,1,1,soort
Genaveld tonnetje,Lauria cylindracea,Mollusca (Weekdieren),1999-05-23,2025-11-06,2090,17074,soort
Ovale poelslak,Ampullaceana balthica,Mollusca (Weekdieren),1974-12-31,2025-10-17,1972,17584,soort
Leverbotslak,Galba truncatula,Mollusca (Weekdieren),1981-04-12,2025-10-30,845,4909,soort
Gewone poelslak,Lymnaea stagnalis,Mollusca (Weekdieren),1974-07-18,2025-11-04,3472,18945,soort
Kleverige poelslak,Myxas glutinosa,Mollusca (Weekdieren),1860-06-14,1976-06-17,9,10,soort
Slanke poelslak,Omphiscola glabra,Mollusca (Weekdieren),2001-08-24,2025-08-09,217,1803,soort
Begroeide poelslak,Peregriana labiata,Mollusca (Weekdieren),1991-01-03,2025-07-18,52,420,soort
Oorvormige poelslak,Radix auricularia,Mollusca (Weekdieren),1972-01-01,2025-11-01,459,1569,soort
Dikke poelslak,Stagnicola corvus,Mollusca (Weekdieren),1991-08-31,2020-09-30,10,19,soort
Moeraspoelslak,Stagnicola palustris,Mollusca (Weekdieren),1968-01-20,2025-08-09,311,2456,soort
Vaatjesslak,Sphyradium doliolum,Mollusca (Weekdieren),1981-05-29,2025-10-19,600,1505,soort
Kleine mutsnaaktslak,Daudebardia brevipes,Mollusca (Weekdieren),2018-02-06,2024-12-25,11,14,soort
Grote mutsnaaktslak,Daudebardia rufa,Mollusca (Weekdieren),2020-12-20,2025-02-02,54,58,soort
Look-glansslak,Oxychilus alliarius,Mollusca (Weekdieren),1989-08-16,2025-11-05,1310,1993,soort
Kelder-glansslak,Oxychilus cellarius,Mollusca (Weekdieren),1981-04-12,2025-11-07,1555,2038,soort
Grote glansslak,Oxychilus draparnaudi,Mollusca (Weekdieren),1981-05-29,2025-11-07,7725,10240,soort
Zwitserse glansslak,Oxychilus navarricus,Mollusca (Weekdieren),1981-05-29,2025-11-04,321,787,soort
Kleine kristalslak,Vitrea contracta,Mollusca (Weekdieren),1981-05-29,2025-10-30,439,664,soort
Gewone kristalslak,Vitrea crystallina,Mollusca (Weekdieren),1981-04-12,2025-11-03,453,775,soort
Mostonnetje,Pupilla muscorum,Mollusca (Weekdieren),1988-11-03,2025-11-05,901,4198,soort
Gestreept tonnetje,Pupilla sterri,Mollusca (Weekdieren),1981-05-30,2022-04-16,4,8,soort
Dwergpuntje,Punctum pygmaeum,Mollusca (Weekdieren),1981-05-29,2025-10-31,436,702,soort
Donkerbruin rotstolletje,Pyramidula pusilla,Mollusca (Weekdieren),1981-05-29,2025-11-01,278,1882,soort
,Sphincterochila candidissima,Mollusca (Weekdieren),2025-06-16,2025-06-16,1,1,soort
Slanke barnsteenslak,Oxyloma elegans,Mollusca (Weekdieren),1991-08-15,2025-09-18,150,319,soort
Tweeling-barnsteenslak,Oxyloma sarsii,Mollusca (Weekdieren),1978-06-12,2025-07-21,10,38,soort
Rode barnsteenslak,Quickella arenaria,Mollusca (Weekdieren),2013-12-26,2025-01-08,17,26,soort
Gewone barnsteenslak,Succinea putris,Mollusca (Weekdieren),1981-05-29,2025-11-06,16308,36594,soort
Langwerpige barnsteenslak,Succinella oblonga,Mollusca (Weekdieren),1988-11-03,2025-11-04,408,951,soort
,Caracollina lenticula,Mollusca (Weekdieren),2025-03-03,2025-03-03,1,1,soort
Stekelslakje,Acanthinula aculeata,Mollusca (Weekdieren),1981-05-29,2025-10-29,305,650,soort
Bijenkorfje,Spermodea lamellata,Mollusca (Weekdieren),2019-04-23,2019-04-23,1,1,soort
Geribde jachthorenslak,Vallonia costata,Mollusca (Weekdieren),1988-09-14,2025-11-04,1898,4951,soort
Scheve jachthorenslak,Vallonia excentrica,Mollusca (Weekdieren),1981-05-29,2025-11-06,808,1568,soort
Fraaie jachthorenslak,Vallonia pulchella,Mollusca (Weekdieren),1981-04-12,2025-10-29,269,616,soort
Ruwe korfslak,Columella aspera,Mollusca (Weekdieren),1979-03-14,2025-10-17,119,201,soort
Tandloze korfslak,Columella edentula,Mollusca (Weekdieren),1988-10-04,2025-11-05,301,2079,soort
Zuidelijke korfslak,Truncatellina callicratis,Mollusca (Weekdieren),2018-04-28,2025-05-31,15,55,soort
Cylindrische korfslak,Truncatellina cylindrica,Mollusca (Weekdieren),1987-01-01,2025-09-06,136,482,soort
Nauwe korfslak,Vertigo angustior,Mollusca (Weekdieren),2005-06-02,2025-09-06,195,1168,soort
Dikke korfslak,Vertigo antivertigo,Mollusca (Weekdieren),2005-05-27,2025-11-03,398,1370,soort
Zegge-korfslak,Vertigo moulinsiana,Mollusca (Weekdieren),2005-11-26,2025-11-06,400,5537,soort
Kleine korfslak,Vertigo pusilla,Mollusca (Weekdieren),2006-10-20,2025-10-19,155,502,soort
Dwerg-korfslak,Vertigo pygmaea,Mollusca (Weekdieren),1981-05-29,2025-11-04,745,2540,soort
Gestreepte korfslak,Vertigo substriata,Mollusca (Weekdieren),2008-10-06,2023-11-26,22,30,soort
Oorvormige glasslak,Eucobresia diaphana,Mollusca (Weekdieren),2014-07-03,2025-11-01,109,174,soort
Grote glasslak,Phenacolimax major,Mollusca (Weekdieren),1988-11-03,2025-11-04,1400,2066,soort
Doorschijnende glasslak,Vitrina pellucida,Mollusca (Weekdieren),1981-04-12,2025-11-05,2102,3809,soort
Rijn-glasslak,Vitrinobrachium breve,Mollusca (Weekdieren),2017-11-02,2025-10-26,24,113,soort
,Elona quimperiana,Mollusca (Weekdieren),2024-10-11,2024-10-11,1,1,soort
,Aegopis verticillus,Mollusca (Weekdieren),2025-06-07,2025-06-07,1,1,soort
,Zonites algirus,Mollusca (Weekdieren),2025-05-19,2025-05-19,1,1,soort
Witte akkerslak,Deroceras agreste,Mollusca (Weekdieren),2009-06-05,2025-11-01,13,17,soort
Kleine akkerslak,Deroceras laeve,Mollusca (Weekdieren),1981-05-29,2025-11-06,1070,1964,soort
Gevlekte akkerslak,Deroceras reticulatum,Mollusca (Weekdieren),1996-07-01,2025-11-06,7562,19793,soort
Oostelijke akkerslak,Deroceras sturanyi,Mollusca (Weekdieren),2024-10-20,2024-10-20,1,6,soort
,Arion (Arion) vulgaris,Mollusca (Weekdieren),2021-08-31,2021-08-31,1,10,soort
Duistere wegslak,Arion ater,Mollusca (Weekdieren),2006-01-01,2025-11-06,680,745,soort
Grauwe wegslak,Arion circumscriptus,Mollusca (Weekdieren),1981-05-29,2025-11-06,210,228,soort
Donkere wegslak,Arion distinctus,Mollusca (Weekdieren),1996-07-01,2025-11-06,878,1157,soort
Bruine wegslak,Arion fuscus,Mollusca (Weekdieren),2003-05-01,2025-11-01,94,117,soort
Zwarte wegslak,Arion hortensis,Mollusca (Weekdieren),1981-05-29,2025-11-06,1634,2987,soort
Egelwegslak,Arion intermedius,Mollusca (Weekdieren),1981-05-29,2025-11-05,2025,2515,soort
Rode wegslak,Arion rufus,Mollusca (Weekdieren),1993-06-24,2025-11-04,1800,6325,soort
Bos-wegslak,Arion silvaticus,Mollusca (Weekdieren),2003-11-02,2025-10-25,322,387,soort
Oranjebruine wegslak,Arion subfuscus,Mollusca (Weekdieren),2003-05-01,2025-10-24,203,246,soort
Bos-aardslak,Lehmannia marginata,Mollusca (Weekdieren),2002-10-21,2025-11-07,4325,6908,soort
Zwarte aardslak,Limax cinereoniger,Mollusca (Weekdieren),1996-06-09,2025-10-31,2420,2600,soort
Tijgerslak,Limax maximus,Mollusca (Weekdieren),1996-07-01,2025-11-06,16317,21249,soort
Tere aardslak,Malacolimax tenellus,Mollusca (Weekdieren),2008-11-06,2025-11-05,616,685,soort
Gestippelde kielnaaktslak,Tandonia rustica,Mollusca (Weekdieren),1981-05-29,2025-10-29,406,574,soort
Gele kielnaaktslak,Tandonia sowerbyi,Mollusca (Weekdieren),2011-07-16,2016-02-05,5,7,soort
Lichtbruine schildslak,Testacella haliotidea,Mollusca (Weekdieren),2024-05-09,2024-10-29,2,2,soort
Kleine clausilia/Vale clausilia/Knotwilgslak,Clausilia spec.,Mollusca (Weekdieren),2002-09-14,2025-10-12,139,258,verzamelsoort
Clausilia onbekend,Clausiliidae indet.,Mollusca (Weekdieren),2000-07-30,2025-11-02,838,1824,verzamelsoort
Gekielde clausilia/Geribde clausilia,Macrogastra spec.,Mollusca (Weekdieren),2016-05-12,2025-11-02,25,25,verzamelsoort
Agaathoren onbekend,Cochlicopa spec.,Mollusca (Weekdieren),2005-05-27,2025-11-03,178,245,verzamelsoort
Dwergslak-soort,Carychium spec.,Mollusca (Weekdieren),2015-02-01,2025-09-28,57,60,verzamelsoort
Tolslak onbekend,Euconulus spec.,Mollusca (Weekdieren),2017-04-23,2025-03-29,22,22,verzamelsoort
Glimslak onbekend,Zonitoides spec.,Mollusca (Weekdieren),2016-05-02,2016-05-02,1,4,verzamelsoort
Grasslak-soort,Candidula spec.,Mollusca (Weekdieren),2008-09-20,2025-04-14,6,6,verzamelsoort
,Geomitridae indet.,Mollusca (Weekdieren),2011-08-12,2025-03-28,51,180,verzamelsoort
Tuinslak onbekend,Cepaea spec.,Mollusca (Weekdieren),2000-06-04,2025-11-07,30240,40451,verzamelsoort
,Helicidae indet.,Mollusca (Weekdieren),2012-12-23,2025-03-22,20,22,verzamelsoort
,Hygromiidae indet.,Mollusca (Weekdieren),2024-02-28,2025-02-17,7,8,verzamelsoort
,Monacha spec.,Mollusca (Weekdieren),2018-03-11,2025-07-27,63,96,verzamelsoort
Mutsnaaktslak onbekend,Daudebardia spec.,Mollusca (Weekdieren),2022-02-27,2022-03-12,2,2,verzamelsoort
,Morlina glabra / Oxychilus navarricus,Mollusca (Weekdieren),2014-10-31,2025-09-14,79,286,verzamelsoort
Oxychilidae onbekend,Oxychilidae indet.,Mollusca (Weekdieren),2015-03-01,2025-10-29,8,17,verzamelsoort
Glansslak-soort,Oxychilus spec.,Mollusca (Weekdieren),2008-08-07,2025-11-06,667,861,verzamelsoort
Kristalslak-soort,Vitrea spec.,Mollusca (Weekdieren),2013-06-14,2025-10-29,112,139,verzamelsoort
,Pupilla spec.,Mollusca (Weekdieren),2022-03-11,2025-04-30,8,11,verzamelsoort
Slanke barnsteenslak / Tweeling-barnsteenslak,Oxyloma spec.,Mollusca (Weekdieren),2008-07-14,2025-10-12,1728,3477,verzamelsoort
Barnsteenslak onbekend,Succineidae indet.,Mollusca (Weekdieren),1996-07-09,2025-11-01,1726,6663,verzamelsoort
Jachthorenslak onbekend,Vallonia spec.,Mollusca (Weekdieren),2016-08-25,2025-10-01,119,142,verzamelsoort
Tandeloze korfslak/Ruwe korfslak,Columella spec.,Mollusca (Weekdieren),2013-05-21,2025-11-05,19,49,verzamelsoort
Korfslak onbekend,Columella/Vertigo,Mollusca (Weekdieren),2018-08-23,2025-10-24,38,456,verzamelsoort
Glasslak-soort,Vitrinidae indet.,Mollusca (Weekdieren),2018-08-28,2025-10-05,59,82,verzamelsoort
Akkerslak onbekend,Deroceras spec.,Mollusca (Weekdieren),2012-07-17,2025-09-27,443,500,verzamelsoort
Wegslak soort,Arion (Arion) spec.,Mollusca (Weekdieren),1992-06-04,2025-11-02,3135,6286,verzamelsoort
Boswegslak/Grauwe wegslak,Arion (Carinarion) spec.,Mollusca (Weekdieren),2008-04-05,2025-10-25,603,929,verzamelsoort
Zwarte wegslak / Donkere wegslak,Arion (Kobeltia) spec.,Mollusca (Weekdieren),2005-05-23,2025-11-06,5662,7695,verzamelsoort
Bruine wegslak / Oranjebruine wegslak,Arion (Mesarion) spec.,Mollusca (Weekdieren),2001-05-19,2025-11-07,4598,5631,verzamelsoort
,Arion rufus / ater,Mollusca (Weekdieren),2006-08-19,2025-09-03,387,453,verzamelsoort
Rode wegslak/Spaanse wegslak,Arion rufus/vulgaris,Mollusca (Weekdieren),1999-08-30,2025-11-07,43650,61703,verzamelsoort
Wegslak onbekend,Arion spec.,Mollusca (Weekdieren),2007-04-30,2025-10-20,81,118,verzamelsoort
Spaanse aardslak/Bosaardslak,Lehmannia spec.,Mollusca (Weekdieren),2014-12-23,2024-07-24,4,5,verzamelsoort
Akkerslak/Aardslak onbekend,Limacidae indet.,Mollusca (Weekdieren),2012-12-23,2025-10-12,72,84,verzamelsoort
,Limacus spec.,Mollusca (Weekdieren),2004-08-21,2025-10-27,69,74,verzamelsoort
Kielnaaktslak onbekend,Limax spec.,Mollusca (Weekdieren),2001-04-05,2025-10-27,147,395,verzamelsoort
Kielnaaktslak onbekend,Milacidae indet.,Mollusca (Weekdieren),2013-05-20,2025-09-19,53,56,verzamelsoort
Zwarte kielnaaktslak/Siciliaanse kielnaaktslak,Milax spec.,Mollusca (Weekdieren),2025-04-26,2025-11-04,3,3,verzamelsoort
